estado,municipio,media_pm2_5,data
SÃO PAULO,SANTA CRUZ DA ESPERANÇA,32.53,28-05-2025 00:00:00
SÃO PAULO,GAVIÃO PEIXOTO,31.87,28-05-2025 00:00:00
SÃO PAULO,MIGUELÓPOLIS,31.68,28-05-2025 00:00:00
SÃO PAULO,CAMPO LIMPO PAULISTA,31.28,28-05-2025 00:00:00
SÃO PAULO,NOVA EUROPA,31.04,28-05-2025 00:00:00
SÃO PAULO,GUAÍRA,30.98,28-05-2025 00:00:00
SÃO PAULO,PIRAPORA DO BOM JESUS,30.72,28-05-2025 00:00:00
SÃO PAULO,SANTA ISABEL,30.72,28-05-2025 00:00:00
SÃO PAULO,VÁRZEA PAULISTA,30.63,28-05-2025 00:00:00
SÃO PAULO,MONGAGUÁ,30.57,28-05-2025 00:00:00
SÃO PAULO,NAZARÉ PAULISTA,30.51,28-05-2025 00:00:00
SÃO PAULO,ITUVERAVA,29.98,28-05-2025 00:00:00
SÃO PAULO,SANTA RITA DO PASSA QUATRO,29.77,28-05-2025 00:00:00
SÃO PAULO,SANTA ROSA DE VITERBO,29.13,28-05-2025 00:00:00
SÃO PAULO,SANTA CRUZ DAS PALMEIRAS,29.03,28-05-2025 00:00:00
SÃO PAULO,COSMÓPOLIS,28.61,28-05-2025 00:00:00
SÃO PAULO,PARAÍSO,28.48,28-05-2025 00:00:00
SÃO PAULO,BOM JESUS DOS PERDÕES,28.47,28-05-2025 00:00:00
SÃO PAULO,ENGENHEIRO COELHO,28.44,28-05-2025 00:00:00
SÃO PAULO,TAMBAÚ,28.42,28-05-2025 00:00:00
SÃO PAULO,JUNDIAÍ,28.29,28-05-2025 00:00:00
SÃO PAULO,PORTO FERREIRA,28.29,28-05-2025 00:00:00
SÃO PAULO,CONCHAL,28.25,28-05-2025 00:00:00
SÃO PAULO,ARTUR NOGUEIRA,28.07,28-05-2025 00:00:00
SÃO PAULO,ATIBAIA,28.04,28-05-2025 00:00:00
SÃO PAULO,ARAÇARIGUAMA,28.03,28-05-2025 00:00:00
SÃO PAULO,JARINU,28.02,28-05-2025 00:00:00
SÃO PAULO,ARIRANHA,27.97,28-05-2025 00:00:00
SÃO PAULO,PAULÍNIA,27.91,28-05-2025 00:00:00
SÃO PAULO,NOVA ODESSA,27.62,28-05-2025 00:00:00
SÃO PAULO,PIRASSUNUNGA,27.5,28-05-2025 00:00:00
SÃO PAULO,SUMARÉ,27.49,28-05-2025 00:00:00
SÃO PAULO,LEME,27.33,28-05-2025 00:00:00
SÃO PAULO,HORTOLÂNDIA,27.21,28-05-2025 00:00:00
SÃO PAULO,AMERICANA,27.18,28-05-2025 00:00:00
SÃO PAULO,BOA ESPERANÇA DO SUL,26.98,28-05-2025 00:00:00
SÃO PAULO,PALMARES PAULISTA,26.98,28-05-2025 00:00:00
SÃO PAULO,ALTINÓPOLIS,26.81,28-05-2025 00:00:00
SÃO PAULO,ARARAS,26.74,28-05-2025 00:00:00
SÃO PAULO,SANTA CRUZ DA CONCEIÇÃO,26.71,28-05-2025 00:00:00
SÃO PAULO,DESCALVADO,26.62,28-05-2025 00:00:00
SÃO PAULO,SANTA ADÉLIA,26.59,28-05-2025 00:00:00
SÃO PAULO,TABATINGA,26.52,28-05-2025 00:00:00
SÃO PAULO,LIMEIRA,26.37,28-05-2025 00:00:00
SÃO PAULO,SEVERÍNIA,26.3,28-05-2025 00:00:00
SÃO PAULO,CAJOBI,26.29,28-05-2025 00:00:00
SÃO PAULO,SANTA BÁRBARA D'OESTE,26.19,28-05-2025 00:00:00
SÃO PAULO,RIBEIRÃO CORRENTE,26.16,28-05-2025 00:00:00
SÃO PAULO,ITATIBA,26.07,28-05-2025 00:00:00
SÃO PAULO,LOUVEIRA,25.99,28-05-2025 00:00:00
SÃO PAULO,HOLAMBRA,25.85,28-05-2025 00:00:00
SÃO PAULO,RESTINGA,25.81,28-05-2025 00:00:00
SÃO PAULO,CORDEIRÓPOLIS,25.8,28-05-2025 00:00:00
SÃO PAULO,EMBAÚBA,25.74,28-05-2025 00:00:00
SÃO PAULO,CAMPINAS,25.62,28-05-2025 00:00:00
SÃO PAULO,ITANHAÉM,25.57,28-05-2025 00:00:00
SÃO PAULO,VINHEDO,25.47,28-05-2025 00:00:00
SÃO PAULO,BERTIOGA,25.45,28-05-2025 00:00:00
SÃO PAULO,CASA BRANCA,25.45,28-05-2025 00:00:00
SÃO PAULO,VALINHOS,25.29,28-05-2025 00:00:00
SÃO PAULO,CAJURU,25.24,28-05-2025 00:00:00
SÃO PAULO,TRABIJU,25.06,28-05-2025 00:00:00
SÃO PAULO,IRACEMÁPOLIS,25,28-05-2025 00:00:00
SÃO PAULO,SANTA GERTRUDES,24.97,28-05-2025 00:00:00
SÃO PAULO,GUARUJÁ,24.88,28-05-2025 00:00:00
SÃO PAULO,PEDERNEIRAS,24.77,28-05-2025 00:00:00
SÃO PAULO,JAGUARIÚNA,24.75,28-05-2025 00:00:00
SÃO PAULO,RIO CLARO,24.7,28-05-2025 00:00:00
SÃO PAULO,MONTE MOR,24.55,28-05-2025 00:00:00
SÃO PAULO,BOCAINA,24.29,28-05-2025 00:00:00
SÃO PAULO,PINDORAMA,24.29,28-05-2025 00:00:00
SÃO PAULO,AGUAÍ,24.26,28-05-2025 00:00:00
SÃO PAULO,JAÚ,24.21,28-05-2025 00:00:00
SÃO PAULO,COLÔMBIA,24.15,28-05-2025 00:00:00
SÃO PAULO,BIRITIBA MIRIM,24.07,28-05-2025 00:00:00
SÃO PAULO,CORUMBATAÍ,24.06,28-05-2025 00:00:00
SÃO PAULO,DOURADO,24.04,28-05-2025 00:00:00
SÃO PAULO,ITUPEVA,23.9,28-05-2025 00:00:00
SÃO PAULO,SÃO ROQUE,23.82,28-05-2025 00:00:00
SÃO PAULO,MINEIROS DO TIETÊ,23.63,28-05-2025 00:00:00
SÃO PAULO,ANALÂNDIA,23.55,28-05-2025 00:00:00
SÃO PAULO,MORUNGABA,23.54,28-05-2025 00:00:00
SÃO PAULO,DOIS CÓRREGOS,23.46,28-05-2025 00:00:00
SÃO PAULO,RIO DAS PEDRAS,23.36,28-05-2025 00:00:00
SÃO PAULO,ITAPUÍ,23.35,28-05-2025 00:00:00
SÃO PAULO,NOVAIS,23.35,28-05-2025 00:00:00
SÃO PAULO,PEDREIRA,23.27,28-05-2025 00:00:00
SÃO PAULO,MOGI MIRIM,23.22,28-05-2025 00:00:00
SÃO PAULO,PIRACAIA,23.18,28-05-2025 00:00:00
SÃO PAULO,ESTIVA GERBI,23.16,28-05-2025 00:00:00
SÃO PAULO,SANTO ANTÔNIO DE POSSE,23.15,28-05-2025 00:00:00
SÃO PAULO,OLÍMPIA,23.07,28-05-2025 00:00:00
SÃO PAULO,MACATUBA,23.03,28-05-2025 00:00:00
SÃO PAULO,JUQUITIBA,22.86,28-05-2025 00:00:00
SÃO PAULO,BARRA BONITA,22.85,28-05-2025 00:00:00
SÃO PAULO,MOGI GUAÇU,22.78,28-05-2025 00:00:00
SÃO PAULO,PIRACICABA,22.75,28-05-2025 00:00:00
SÃO PAULO,MOMBUCA,22.74,28-05-2025 00:00:00
SÃO PAULO,BURITIZAL,22.54,28-05-2025 00:00:00
SÃO PAULO,IGARAÇU DO TIETÊ,22.54,28-05-2025 00:00:00
SÃO PAULO,BORACÉIA,22.47,28-05-2025 00:00:00
SÃO PAULO,GUARACI,22.37,28-05-2025 00:00:00
SÃO PAULO,CATANDUVA,22.35,28-05-2025 00:00:00
SÃO PAULO,CABREÚVA,22.34,28-05-2025 00:00:00
SÃO PAULO,ELIAS FAUSTO,22.33,28-05-2025 00:00:00
SÃO PAULO,IGARATÁ,22.29,28-05-2025 00:00:00
SÃO PAULO,CAPIVARI,22.28,28-05-2025 00:00:00
SÃO PAULO,INDAIATUBA,22.05,28-05-2025 00:00:00
SÃO PAULO,ITOBI,22.02,28-05-2025 00:00:00
SÃO PAULO,JERIQUARA,21.89,28-05-2025 00:00:00
SÃO PAULO,RAFARD,21.89,28-05-2025 00:00:00
SÃO PAULO,ARAMINA,21.79,28-05-2025 00:00:00
SÃO PAULO,ITÁPOLIS,21.79,28-05-2025 00:00:00
SÃO PAULO,IBATÉ,21.58,28-05-2025 00:00:00
SÃO PAULO,BRAGANÇA PAULISTA,21.56,28-05-2025 00:00:00
SÃO PAULO,SALTINHO,21.56,28-05-2025 00:00:00
SÃO PAULO,IPEÚNA,21.48,28-05-2025 00:00:00
